ID;TITLE;LINK
84;"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (4520)";https://www.gutenberg.org/ebooks/84
25558;"呻吟語 by Kun Lü (3636)";https://www.gutenberg.org/ebooks/25558
2701;"Moby Dick; Or, The Whale by Herman Melville (2703)";https://www.gutenberg.org/ebooks/2701
1513;"Romeo and Juliet by William Shakespeare (2342)";https://www.gutenberg.org/ebooks/1513
46;"A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (2287)";https://www.gutenberg.org/ebooks/46
24162;"二刻拍案惊奇 by Mengchu Ling (2067)";https://www.gutenberg.org/ebooks/24162
145;"Middlemarch by George Eliot (1755)";https://www.gutenberg.org/ebooks/145
11;"Alice's Adventures in Wonderland by Lewis Carroll (1723)";https://www.gutenberg.org/ebooks/11
100;"The Complete Works of William Shakespeare by William Shakespeare (1723)";https://www.gutenberg.org/ebooks/100
1342;"Pride and Prejudice by Jane Austen (1708)";https://www.gutenberg.org/ebooks/1342
73397;"Vasari on technique : by Giorgio Vasari (1685)";https://www.gutenberg.org/ebooks/73397
2641;"A Room with a View by E. M.  Forster (1675)";https://www.gutenberg.org/ebooks/2641
37106;"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott (1625)";https://www.gutenberg.org/ebooks/37106
2542;"A Doll's House : a play by Henrik Ibsen (1531)";https://www.gutenberg.org/ebooks/2542
67979;"The Blue Castle: a novel by L. M.  Montgomery (1487)";https://www.gutenberg.org/ebooks/67979
16389;"The Enchanted April by Elizabeth Von Arnim (1454)";https://www.gutenberg.org/ebooks/16389
25344;"The Scarlet Letter by Nathaniel Hawthorne (1383)";https://www.gutenberg.org/ebooks/25344
6761;"The Adventures of Ferdinand Count Fathom — Complete by T.  Smollett (1380)";https://www.gutenberg.org/ebooks/6761
394;"Cranford by Elizabeth Cleghorn Gaskell (1372)";https://www.gutenberg.org/ebooks/394
2160;"The Expedition of Humphry Clinker by T.  Smollett (1362)";https://www.gutenberg.org/ebooks/2160
